"""Cuba""",1924,Cuba,,,,Florida,The Bahamas,,[1][52]
"""Okeechobee""",1928,Puerto Rico,"Guadeloupe, Turks and Caicos Islands, The Bahamas, & Florida",,,South Carolina,,,
"""Bahamas""",1932,The Bahamas,,,,,,,
"""Cuba""",1932,,Little Cayman & Cuba,The Bahamas,,,Martinique,,
"""Cuba–Brownsville""",1933,The Bahamas,,Cuba & Texas,,,,,
"""Tampico""",1933,,Yucatán Peninsula,,Mainland Mexico,,,,
"""Labor Day""",1935,Florida Keys,,,Northwest Florida,The Bahamas,,,
"""New England""",1938,,,New York & Connecticut,,,,,
Carol,1953,,,,,Canada,,,
Janet,1955,Yucatán Peninsula,,,Mainland Mexico,,,,
Carla,1961,,Texas,,,,,,
Hattie,1961,,Belize,,,Mexico,,,
Beulah,1967,,,Texas,Yucatán Peninsula,,,,
Camille,1969,Mississippi,,,Cuba,,,,
Edith,1971,Nicaragua,,,,Louisiana,Belize & Mexico,,
Anita,1977,Mexico,,,,,,,
David,1979,Dominican Republic,Dominica,,Florida,"Cuba, The Bahamas, & Georgia",,,
Allen,1980,,,Texas,,,,,
Gilbert,1988,Quintana Roo,,Jamaica & Tamaulipas,,,,,[23]
Hugo,1989,,"Guadeloupe, Saint Croix, & South Carolina",Puerto Rico,,,,,[25]
Andrew,1992,Eleuthera& Florida,Berry Islands,Louisiana,,,,,[27]
Mitch,1998,,Guanaja,,,Honduras,Campeche& Florida,,[28]
Isabel,2003,,,,North Carolina,,,,[32]
Ivan,2004,,,Alabama,,,,Louisiana,[33]
Emily,2005,,Quintana Roo,Tamaulipas,,Grenada,,,[34]
Katrina,2005,,,Louisiana & Mississippi,,Florida,,,[35]
Rita,2005,,,Louisiana,,,,,[36]
Wilma,2005,,Cozumel & Quintana Roo,Florida,,,,,[37]
Dean,2007,Quintana Roo,,,Veracruz,,,,[41]
Felix,2007,Nicaragua,,,,,Grenada,,[43]
Matthew,2016,,"Haiti, Cuba& Grand Bahama",,,South Carolina,,,[47]
Irma,2017,"Barbuda, Saint Martin, British Virgin Islands & Cuba",Little Inagua& Florida Keys,Southwest Florida,,,,,[48]
Maria,2017,Dominica,Puerto Rico,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
